id,field,research_question,literature_tension,why_care,primary_hypothesis,null,economic_mechanism,dependent_variable,explanatory_variable,identification,data,likely_sample,method,novelty_threat,contribution,identification_quality,data_feasibility,undergrad_feasibility,null_value
Q11,"Asset allocation","Does rebalance-calendar choice materially change inference about tactical allocation after treating offsets as one strategy family?","Single schedule versus timing luck","Implementation uncertainty","Offset dispersion is economically material","Offsets equivalent","Calendar exposure","Family-level return/dispersion","Rebalance offset","All offsets pre-enumerated","Public ETF/index returns","20+ years; multiple rules","Randomization inference/block bootstrap",MODERATE,MODERATE,STRONG,HIGH,HIGH,PASS
Q12,"ETF implementation","Do ETF tracking and cash/financing explain the futures-to-ETF trend gap?","Academic versus accessible implementation","External validity","Implementation components explain gap","No gap","Roll/financing/tracking","Matched return difference","Instrument domain","Matched underlying pairs","ETF plus futures","ETF inception onward","Paired decomposition",MODERATE,MODERATE,STRONG,LOW,MODERATE,PASS
Q13,"Asset allocation","Does correlation-estimation error dominate volatility-estimation error in risk parity?","Correlation-aware versus inverse vol","Portfolio construction","Correlation error is dominant","Equal contribution","Estimation error","OOS risk forecast error","Estimator class","Simulation plus frozen estimators","Public indexes","30+ years","Forecast loss/bootstrap",HIGH,WEAK,MODERATE,HIGH,MODERATE,PASS
Q14,"Volatility","Are volatility-managed factor gains confined to revised recession classifications?","Conditional benefit versus real-time instability","Information set","Real-time states weaken gains","No vintage effect","Revision bias","Managed-minus-raw return","Vintage recession proxy","Vintage contrast","ALFRED; French factors","1960s+","Interaction/spanning",MODERATE,MODERATE,STRONG,HIGH,HIGH,PASS
Q15,"Return predictability","Do first-release inflation surprises predict factor returns differently from revised inflation?","Investor information versus hindsight","Pricing of macro news","First releases differ materially","No difference","News versus measurement","Factor next return","Release surprise/revision","Release calendar","ALFRED; French factors","1960s+","Event/predictive regression",MODERATE,MODERATE,MODERATE,HIGH,HIGH,PASS
Q16,"Measurement","Do ex-post NBER labels exaggerate crisis-alpha claims relative to real-time recession probabilities?","Crisis labels versus investable state","Crisis interpretation","Ex-post labels overstate conditional payoff","No label effect","Dating hindsight","Conditional strategy/factor return","State definition","Paired labels","ALFRED; NBER; public factors","1960s+","Paired state interaction",MODERATE,MODERATE,MODERATE,HIGH,HIGH,PASS
Q17,"Replication","Are null anomaly replications explained by inconsistent delisting treatment?","Replication crisis","Measurement validity","Delisting rules explain differences","No effect","Missing terminal returns","Anomaly return","Delisting convention","Same securities/rules","CRSP","1926+","Paired replication",HIGH,WEAK,STRONG,LOW,LOW,PASS
Q18,"Portfolio construction","Does volatility targeting mechanically create trend exposure?","Volatility alpha versus trend","Factor interpretation","Trend spans targeting alpha","No spanning","Leverage response","Managed return alpha","Trend exposure","Spanning regression","French factors","1926+","Regression",FATAL,NONE,STRONG,HIGH,HIGH,PASS
Q19,"Regime measurement","Are factor regime interactions stable across alternative public business-cycle indicators?","State dependence versus label choice","Robust conditional pricing","Conclusions vary by state proxy","Stable coefficients","Measurement error","Interaction coefficient","State proxy","Specification curve pre-registered","FRED; French factors","1960s+","Multiverse/inference",HIGH,WEAK,WEAK,HIGH,MODERATE,PASS
Q20,"Fund flows","Do ETF flows amplify short-horizon factor reversal?","Arbitrage versus price pressure","Market structure","Flows predict reversal","No relation","Price pressure","Future factor/ETF return","Lagged flow","Instrument/event controls","ETF flows","2000s+","Panel IV/event study",HIGH,MODERATE,WEAK,LOW,LOW,CONDITIONAL
